ID,Title,Type,Batch,Owner Lane,Dependencies,External Dependency,Status,PR,Epic,Milestone,Feature Group,Description
S1-A1,新增 ListingPerformanceDaily 模型与 migration,Schema,Batch 1,Backend,无,无,ready,PR 1: Performance schema foundation,Stage 1,Batch 1,分组 A,新增 ListingPerformanceDaily 模型与 migration，为表现数据回流提供持久化层基础
S1-A2,新增 AssetPerformanceDaily 模型并并入 performance migration,Schema,Batch 1,Backend,无,无,ready,PR 1: Performance schema foundation,Stage 1,Batch 1,分组 A,新增 AssetPerformanceDaily 模型并并入 performance migration，为素材表现数据回流提供持久化层基础
S1-A3,为 ContentAsset 增加 variant_group 字段与 migration,Schema,Batch 1,Backend,无,无,ready,PR 1: Performance schema foundation,Stage 1,Batch 1,分组 A,为 ContentAsset 增加 variant_group 字段与 migration，支持多变体素材管理
S1-B1,实现 ListingMetricsService 的 ingest/query/ctr 逻辑,Service,Batch 1,Backend,A1,无,todo,PR 2: Performance services foundation,Stage 1,Batch 1,分组 B,实现 ListingMetricsService 的 ingest/query/ctr 逻辑，提供表现数据写入和查询能力
S1-B2,实现 AssetPerformanceService 的 ingest/query/top-assets 逻辑,Service,Batch 1,Backend,A2,无,todo,PR 2: Performance services foundation,Stage 1,Batch 1,分组 B,实现 AssetPerformanceService 的 ingest/query/top-assets 逻辑，提供素材表现数据写入和查询能力
S1-B3,实现 PlatformSyncService 骨架与 retry/logging,Service,Batch 2,Backend,"B1, B2",部分依赖平台 adapter 接口稳定性,todo,PR 3: Platform sync skeleton + asset variants,Stage 1,Batch 2,分组 B,实现 PlatformSyncService 骨架与 retry/logging，为平台同步提供统一编排入口
S1-C1,扩展 ContentAssetManagerAgent 支持 variant_count 与 variant_group,Agent,Batch 2,Agent,A3,无,todo,PR 3: Platform sync skeleton + asset variants,Stage 1,Batch 2,分组 C,扩展 ContentAssetManagerAgent 支持 variant_count 与 variant_group，实现多变体素材生成能力
S1-E1,编写 ListingPerformanceDaily 模型测试,Test,Batch 2,QA/Backend,A1,无,todo,PR 2: Performance services foundation,Stage 1,Batch 2,分组 E,编写 ListingPerformanceDaily 模型测试，为表现数据层建立测试保护网
S1-E2,编写 ListingMetricsService 测试,Test,Batch 2,QA/Backend,B1,无,todo,PR 2: Performance services foundation,Stage 1,Batch 2,分组 E,编写 ListingMetricsService 测试，为表现数据服务层建立测试保护网
S1-C2,新增 ABTestManager Agent 框架,Agent,Batch 3,Agent,"C1, B2",无,todo,PR 4: A/B testing management,Stage 1,Batch 3,分组 C,新增 ABTestManager Agent 框架，为 A/B 测试管理提供基础能力
S1-C3,实现 winner promotion 工作流,Agent/Workflow,Batch 3,Agent,C2,可能依赖 listing-asset 关系细节,todo,PR 4: A/B testing management,Stage 1,Batch 3,分组 C,实现 winner promotion 工作流，让 A/B 测试赢家可自动推进更新
S1-D1,把 TemuAdapter 从 mock 升级为真实 API,Platform,Batch 3,Platform Integration,B3,Temu 账号与 API credentials,blocked,PR 5: Temu real adapter,Stage 1,Batch 3,分组 D,把 TemuAdapter 从 mock 升级为真实 API，建立真实平台同步能力
S1-E3,编写 ABTestManager 测试,Test,Batch 3,QA,"C2, C3",无,todo,PR 4: A/B testing management,Stage 1,Batch 3,分组 E,编写 ABTestManager 测试，为 A/B 测试管理建立测试保护网
S1-D2,新增 Amazon SP-API Adapter,Platform,Batch 4,Platform Integration,D1 经验复用但技术上可并行,Amazon Seller 账号与 SP-API credentials,blocked,PR 7: Amazon adapter（可独立延后）,Stage 1,Batch 4,分组 D,新增 Amazon SP-API Adapter，扩展平台同步能力到 Amazon
S1-D3,新增平台同步 Celery 定时任务与 beat 配置,Task/Infra,Batch 4,Backend/Platform,B3,Celery 环境配置,todo,PR 6: Scheduled sync + integration verification,Stage 1,Batch 4,分组 D,新增平台同步 Celery 定时任务与 beat 配置，建立定时同步框架
S1-E4,编写 Temu 真实 API 集成测试,Integration Test,Batch 4,QA/Platform,D1,Temu credentials 与测试环境,blocked,PR 6: Scheduled sync + integration verification,Stage 1,Batch 4,分组 E,编写 Temu 真实 API 集成测试，验证真实平台同步链路
S1-E5,编写 Stage 1 E2E 测试,E2E Test,Batch 4,QA/Backend,"B3, C2, C3",依赖前序核心能力稳定,todo,PR 6: Scheduled sync + integration verification,Stage 1,Batch 4,分组 E,编写 Stage 1 E2E 测试，验证完整表现数据回流与 A/B 测试链路
